PlayButtonText プレイ
Name_Private_Long 友達限定のプライベートニックネームが長すぎます。

# https://support.smartlydressedgames.com/hc/en-us/articles/13452208765716
Name_Private_Invalid 友達限定のプライベートなニックネームに無効な文字が含まれています。

Name_Private_Number 友達限定のプライベートニックネームは、単なる数字ではありません。

Server_Map_Advertisement_Mismatch サーバーが、ロードを要求したマップとは異なるマップを示した。
Server_VAC_Advertisement_Mismatch サーバーは、現在有効なものとは異なるVAC保護ステータスを示した。
Server_BattlEye_Advertisement_Mismatch サーバーが、現在有効なものとは異なるBattlEye保護ステータスを示した。
Server_MaxPlayers_Advertisement_Mismatch サーバーが、現在設定されている最大プレイヤー数とは異なるプレイヤー数を示した。
Server_CameraMode_Advertisement_Mismatch サーバーが現在設定されているものとは異なるカメラモードを示した。
Server_PvP_Advertisement_Mismatch サーバーが、現在設定されているものとは異なるPvPまたはPvEの戦闘モードを示した。

HWID_Modified Hardware ID (HWID) spoofer detected.

SteamNetworkingSockets_Unavailable_CannotTry Steamネットワーク認証の初期化ができません。
SteamNetworkingSockets_Unavailable_Failed Steamネットワーク認証の初期化に失敗しました。
SteamNetworkingSockets_Unavailable_Previously Steamネットワーク認証の初期化が一時的にできません。
SteamNetworkingSockets_EndReason_App_1001 プレイヤーのスロット、キューのスロット、保留中の接続のスロットがすべて満杯です。
SteamNetworkingSockets_EndReason_App_1002 サーバーが停止している状態です。
SteamNetworkingSockets_EndReason_App_Unknown ゲームが原因不明の接続終了: {0}
SteamNetworkingSockets_EndReason_AppException_Generic ゲームは異常な形で接続を終了しました。
SteamNetworkingSockets_EndReason_AppException_Unknown 不明な理由でゲームの接続が終了しました: {0}
SteamNetworkingSockets_EndReason_Local_OfflineMode オフラインモードで実行中に接続できません。
SteamNetworkingSockets_EndReason_Local_RelayConnectivity Steamリレーネットワークへの接続ができません。
SteamNetworkingSockets_EndReason_Local_NetworkConfig Steamのネットワーク設定を取得できませんでした。
SteamNetworkingSockets_EndReason_Local_Rights 権限が不足しているため、Steamに拒否されました。
SteamNetworkingSockets_EndReason_Local_Unknown 不明なローカル接続エラー: {0}
SteamNetworkingSockets_EndReason_Remote_Timeout ホストとの接続が切れました。
SteamNetworkingSockets_EndReason_Remote_BadCrypt ホストとの暗号化の確立ができません。
SteamNetworkingSockets_EndReason_Remote_BadCert ホストの暗号化証明書を信頼できません。
SteamNetworkingSockets_EndReason_Remote_BadProtocolVersion ホストが別のSteamネットワークプロトコルを実行しています。
SteamNetworkingSockets_EndReason_Remote_Unknown 不明なリモート接続エラー: {0}
SteamNetworkingSockets_EndReason_Misc_InternalError スチームネットワークの内部エラー.

# https://support.smartlydressedgames.com/hc/en-us/articles/12174787513236
SteamNetworkingSockets_EndReason_Misc_Timeout ホストまたはSteamネットワークへの接続が失われました。

SteamNetworkingSockets_EndReason_Misc_SteamConnectivity Steamに接続の問題が発生しています。
SteamNetworkingSockets_EndReason_Misc_Unknown 不明な雑多な接続エラー: {0}
SteamNetworkingSockets_EndReason_Unknown 原因不明の接続終了: {0}

UGC_NeedsToAcceptWorkshopLegalAgreement 最新の Steam Workshop 法的同意に同意する必要があるため、アイテムの作成または更新に失敗しました。
UGC_UnknownResult アイテムの作成または更新に失敗しました。 Steam error code: {0}
UGC_IOError 不明な I/O 問題のため、アイテムの作成または更新に失敗しました。
UGC_Success Steamへの投稿に成功しました

Pro_Title ゴールドアカウントアップグレード
Pro_Button ゴールドアカウントへアップグレードしてキャラクタースロットや専用カスタマイズ、プレミアムサーバー使用権を手に入れましょう! [ここをクリックしてストアページへ]
Pro_Button_Tooltip Steamストアページ を開く

BattlEye_Header 警告: BattlEye 無効
BattlEye_Body BattlEye アンチチートが実行されていないため、BattlEyeに保護されたサーバーへ参加できません。 BattlEyeをアンインストールまたはインストールをしなかった場合、 Unturned/BattlEye フォルダにある Install_BattlEye.bat を実行することによって再インストールが可能です｡

UpdateAvailable バージョン {0} へのアップデートが利用可能です！自動アップデートを有効にしている場合、ゲームを閉じた後にダウンロードとインストールが行われます。
RollbackAvailable お手数をおかけして申し訳ありませんが、バージョン{0}へのロールバックが検出されました。通常、これはゲームを破壊するバグが発見されたことを意味し、それを適切に修正するには時間が必要です。自動アップデートを有効にしている場合は、ゲームを閉じた後にダウンロードとインストールが行われます。重ねてお詫び申し上げます。今後同じ問題が発生しないよう、予防措置を講じます！

Overlay Steamオーバーレイを有効にする必要があります。 
Dismiss_Notification_Label 確認
Dismiss_Notification_Tooltip 通知を解除します。
Copy_Notification_Label コピーする
Copy_Notification_Tooltip メッセージをクリップボードにコピーする。
MarkContentCorrupt_Label 更新の確認とファイルの修復を強制実行
MarkContentCorrupt_Tooltip ゲームを終了し、Steamでゲームファイルの検証をしてください。
