Speciality_2_Skill_2_Level_5 +50% リソースへのダメージ
Speciality_2_Skill_3 クッキング (Cooking)
Speciality_2_Skill_3_Tooltip 品質の高い料理を作れるようになる。
Speciality_2_Skill_3_Level_1 食材
Speciality_2_Skill_3_Level_2 食材, 軽いスナック
Speciality_2_Skill_3_Level_3 食材, 軽いスナック, 普通の食事
Speciality_2_Skill_4 フィッシング (Fishing)
Speciality_2_Skill_4_Tooltip 魚が釣れやすくなる。 
Speciality_2_Skill_4_Level_1 +20% ヒットまでの早さ
Speciality_2_Skill_4_Level_2 +40% ヒットまでの早さ
Speciality_2_Skill_4_Level_3 +60% ヒットまでの早さ
Speciality_2_Skill_4_Level_4 +80% ヒットまでの早さ
Speciality_2_Skill_4_Level_5 +100% ヒットまでの早さ
Speciality_2_Skill_5 アグリカルチャー (Agriculture)
Speciality_2_Skill_5_Tooltip 作物の収穫効率を上げる。 
Speciality_2_Skill_5_Level_1 14% 収穫確率, +3% 初期成長ボーナス
Speciality_2_Skill_5_Level_2 29% 収穫確率, +7% 初期成長ボーナス
Speciality_2_Skill_5_Level_3 43% 収穫確率, +10% 初期成長ボーナス
Speciality_2_Skill_5_Level_4 57% 収穫確率, +14% 初期成長ボーナス
Speciality_2_Skill_5_Level_5 71% 収穫確率, +18% 初期成長ボーナス
Speciality_2_Skill_5_Level_6 86% 収穫確率, +21% 初期成長ボーナス
Speciality_2_Skill_5_Level_7 100% 収穫確率, +25% 初期成長ボーナス
Speciality_2_Skill_6 メカニック (Mechanic)
Speciality_2_Skill_6_Tooltip 車両やアイテムの修理効率を上げる。
Speciality_2_Skill_6_Level_1 +20% 修理速度
Speciality_2_Skill_6_Level_2 +40% 修理速度
Speciality_2_Skill_6_Level_3 +60% 修理速度
Speciality_2_Skill_6_Level_4 +80% 修理速度
Speciality_2_Skill_6_Level_5 +100% 修理速度
Speciality_2_Skill_7 エンジニア (Engineer)
Speciality_2_Skill_7_Tooltip 複雑なアイテムを修理できるようになる。
Speciality_2_Skill_7_Level_1 手作りのアイテム
Speciality_2_Skill_7_Level_2 手作りのアイテム, 普通のアイテム
Speciality_2_Skill_7_Level_3 手作りのアイテム, 普通のアイテム, 複雑なアイテム

Boost_0 ランダムブースト (Random Boost)
Boost_0_Tooltip ランダムで効果を得ます。 
Boost_1 ハーデンド (Hardened)
Boost_1_Tooltip ゾンビからのダメージを減少させる。 
Boost_1_Bonus +25% ゾンビからのダメージ軽減
Boost_2 スプラッタリフィック (Splatterific)
Boost_2_Tooltip 更に血が舞うようになる。 
Boost_2_Bonus +700% 血が舞う量
Boost_3 フライト (Flight)
Boost_3_Tooltip 敵を倒すとよく吹き飛ぶようになる。 
Boost_3_Bonus +700% ラグドール/ジャッキの初速
Boost_4 オリンピック (Olympic)
Boost_4_Tooltip 物を遠くまで投げられるようになる。 
Boost_4_Bonus +100% 投擲物の初速

Skill {0} [{1}]
Bonus_Current 現在のボーナス: {0}
Bonus_Next 次のボーナス: {0}
Cost 必要経験値: {0}
Full レベル最大
Experience 経験値: {0}

Level_0 -
Level_1 I
Level_2 II
Level_3 III
Level_4 IV
Level_5 V
Level_6 VI
Level_7 VII
Level_8 VIII
Level_9 IX
Level_10 X
